old_path	new_path	reason
ios/chat/clickup-ios-chat-chat-06904e8e-9a1b-4ee8-98dd-3756f6927b9a.webp	ios/ai/clickup-ios-ai-chat-06904e8e-9a1b-4ee8-98dd-3756f6927b9a.webp	ClickUp Brain task-summary chat panel, not the Chat feature
ios/editors/clickup-ios-editors-docs-b4bcc6fa-1d5a-4420-bc42-d889fe388f8c.webp	ios/docs/clickup-ios-docs-docs-b4bcc6fa-1d5a-4420-bc42-d889fe388f8c.webp	Doc title with formatting toolbar and keyboard open
ios/editors/clickup-ios-editors-forms-19d00768-0372-4e61-b96e-01db5ad98611.webp	ios/dialogs/clickup-ios-dialogs-forms-19d00768-0372-4e61-b96e-01db5ad98611.webp	Duplicate List confirmation modal, not a form
ios/editors/clickup-ios-editors-forms-782436c8-4353-4dc0-aecc-75794a4d3b3c.webp	ios/collaboration/clickup-ios-collaboration-forms-782436c8-4353-4dc0-aecc-75794a4d3b3c.webp	Public share-link panel with permission toggles
ios/editors/clickup-ios-editors-forms-7ed3ef89-da66-40f1-b052-a9ed9f01db49.webp	ios/dialogs/clickup-ios-dialogs-forms-7ed3ef89-da66-40f1-b052-a9ed9f01db49.webp	Duplicate List confirmation modal, not a form
ios/editors/clickup-ios-editors-forms-aee9b213-5812-4d23-9c2e-61762a6802a6.webp	ios/dialogs/clickup-ios-dialogs-forms-aee9b213-5812-4d23-9c2e-61762a6802a6.webp	Duplicate List confirmation modal, not a form
ios/editors/clickup-ios-editors-notepad-3434dd8c-3963-4906-8b93-1783e0f81764.webp	ios/dialogs/clickup-ios-dialogs-notepad-3434dd8c-3963-4906-8b93-1783e0f81764.webp	Convert-to-task confirmation modal (Delete/Archive/Keep)
ios/editors/clickup-ios-editors-notepad-50b69716-9bbb-4425-bf29-2a4bbff18f60.webp	ios/menus/clickup-ios-menus-notepad-50b69716-9bbb-4425-bf29-2a4bbff18f60.webp	Bottom-sheet overflow menu (Rename/Convert/Archive/Delete)
ios/filters/clickup-ios-filters-filters-19b00eaa-f469-4634-a804-b1e33ac1fc70.webp	ios/dialogs/clickup-ios-dialogs-filters-19b00eaa-f469-4634-a804-b1e33ac1fc70.webp	Duplicate List confirmation modal, not a filter screen
ios/filters/clickup-ios-filters-sort-3fe0480a-8509-4e6a-82c8-b193dabfaef2.webp	ios/settings/clickup-ios-settings-sort-3fe0480a-8509-4e6a-82c8-b193dabfaef2.webp	Default launch page settings picker, not a sort control
ios/navigation/clickup-ios-navigation-favorites-0de9a4f7-8854-4775-b34a-b7ae1a835fd8.webp	ios/menus/clickup-ios-menus-favorites-0de9a4f7-8854-4775-b34a-b7ae1a835fd8.webp	Task Options overflow menu, not a favorites destination
